mount.Name,mount.Area_km2,n_GridsCells,total_richness,local_richness,Species turnover,MAT,MAP,Clim_vol_convex,TopographicComplexity,NPP,average_ADF_vol
Cameroun Mts,221017,288,725,342.6805556,1.115673003,233.536358,1869.27377,5.79947383,405.4283168,0.7578453,3499.3095
Ahaggar,223784,322,39,17.39440994,1.242099625,225.6107624,42.10459,0.1179622,288.1046409,0.01655845,346.4609
Aleutian,56301,144,149,104.4055944,0.427126591,17.1728992,1126.7067,6.81847328,390.0570381,0.2684115,2969.6518
Alps and central European outliers,284319,540,265,159.2740741,0.663798716,71.7197933,1112.95208,4.68447541,679.7092357,0.66139087,5515.4043
Altai Highlands,956815,1917,385,161.2806468,1.387143204,-26.6547424,345.8137,2.44256769,611.6403613,0.28826084,5465.0046
Amurland,396111,790,292,154.8303797,0.885934792,-20.7298769,716.60476,1.10399052,304.718291,0.50468004,4943.2173
Anatolia,265974,438,295,131.630137,1.241128109,104.8402646,657.08303,4.5978408,593.8861109,0.50874126,4074.6968
Western Angola Scarp,113084,150,614,312.8,0.962915601,193.3974048,1190.11591,1.11117146,312.0823696,1.10059026,3564.284
Apeninian Mts,95662,165,212,135.8909091,0.560074926,127.3221165,778.02071,1.65421325,366.6199517,0.72973618,4466.3523
Appalachians,261497,446,232,136.4103139,0.700751163,100.7924823,1114.35622,2.31873843,245.4971527,0.77303019,2569.4621
Arctic archipelago,472844,1738,78,21.86106033,2.567987958,-120.9539219,381.03247,4.9650955,506.8223536,0.03711713,765.2045
Arctic Desert,455545,3435,53,13.89982004,2.812999007,-200.1033881,122.01676,0.49386937,423.5398902,0.02239361,400.1695
Atlas Mts,276151,426,236,101.5633803,1.323672168,165.2811988,295.50498,1.6784889,537.886256,0.18112871,2685.8749
Baja California,91652,137,251,97.24087591,1.581219036,195.056798,219.33167,1.06343714,446.1653166,0.21903817,1542.2254
Balkans,219806,379,277,172.171504,0.608860895,104.3417012,990.9594,4.13031584,459.0558997,0.70278939,5424.4127
Black Hills,10819,19,166,142.3157895,0.166420118,76.0792608,485.24335,0.17829062,372.8626724,0.35959546,3020.6521
Borneo Highlands,239703,312,414,226.3044872,0.829393686,235.6662041,3261.43454,6.72016189,371.4037537,1.28824373,980.7472
Bougainville,4252,4,118,115,0.026086957,235.8135916,3173.0381,2.77279496,448.8728956,0.82277457,538.0445
Brazilian Atlantic Mts,858815,1202,859,375.2371048,1.28921924,206.574275,1344.67118,3.0499082,258.9887069,1.25527734,3750.6369
Brazilian plateau,809383,1092,678,344.8369963,0.966146345,236.814361,1389.37345,1.20284658,179.3557176,0.7797764,4013.3521
C Siberian Highlands,419622,1355,206,82.11365314,1.508718004,-99.0354206,438.73586,0.77065294,255.6035054,0.20259533,3495.3249
Caripe-Paria,12103,18,511,407,0.255528256,243.8984033,1151.71785,1.56538565,448.2913228,1.13457545,4036.1079
Carpathians,166288,315,236,167.5968254,0.408141231,71.3793369,791.94386,1.07161183,370.2955341,0.67526068,5890.5256
Caucasus,211240,365,285,166.5534247,0.711162653,67.3021701,821.28566,5.58228291,847.3500594,0.5914417,5312.2666
Central African Highlands,151265,202,900,471.8316832,0.907459868,193.8697315,1311.05109,3.23615852,417.4930005,1.22540142,4509.9256
Central American Highlands,303955,401,655,321.9376559,1.034555412,222.6568743,1923.68175,7.0665379,597.8349307,1.30083337,2468.5857
Guinea Highlands,19662,28,463,227.8571429,1.031974922,242.53943,1715.84088,1.20441367,216.25427,0.5816654,2882.3472
Chimanimani Mts,19083,29,504,391.3448276,0.287866772,187.489549,1215.60586,1.48926683,360.9537793,1.22301678,4515.0444
Naga Mts,189074,269,755,396.7434944,0.902992766,204.9259715,3028.78855,17.75098466,607.7184015,1.13863387,3228.7617
Corsica-Sardinia,21546,37,152,111.4054054,0.36438622,142.2941087,738.1859,0.71278983,350.9686539,0.9161122,3354.7042
Costa Rica / Panamanian,31996,40,681,462.85,0.471319002,200.0375812,3105.37026,5.20046568,624.3390514,1.13329704,2953.2164
Crete,8261,12,85,75.91666667,0.119648738,161.8279106,694.1017,0.63432036,410.3442198,0.85491281,2280.2985
Cyprus,2111,2,78,76,0.026315789,169.3339132,627.83671,0.32831618,327.2942693,0.57886103,2316.2625
Darfur Highlands,58549,77,286,149.0519481,0.91879411,236.6230859,327.70343,0.71072107,200.929767,0.07438619,2172.7797
Daxing'anling Mts,214954,426,288,143.1056338,1.012499385,-6.1148819,465.75112,0.36145453,221.3424495,0.40719914,4539.0969
Desert Tibet,777933,1237,242,40.41067098,4.988517244,-41.9755761,223.53801,2.05910692,954.1076465,0.06370257,966.7651
E African Highlands,300264,389,929,439.2596401,1.114922281,206.1103662,909.61679,3.63878277,463.4225854,0.9199822,4681.8892
E Sclerophyl Highlands,368492,565,373,209.5964602,0.779610208,148.2228547,872.88221,2.36905273,339.7869979,1.11410918,1484.8543
East Cuba,19935,29,128,102.137931,0.253207292,246.7559766,1166.10512,0.98242113,246.0551156,0.99176678,959.3964
East Siberia Mts,1647358,4939,251,81.11715904,2.094289827,-108.9119983,335.38902,1.36273815,400.3336921,0.16995192,3377.4981
Eastern Central Andes,688830,940,1719,346.9117021,3.955151381,146.10267,1216.27433,17.80138973,1334.254664,0.98111056,2487.338
Coromandel Ghats,77583,102,301,200.1764706,0.50367323,270.9514899,861.84314,2.62252096,314.9842585,0.55153966,2284.0754
Mahanadian Ghats,60279,83,282,212.7349398,0.325593249,255.2922793,1458.38241,0.75891406,339.2022008,0.47954107,2312.0816
Eastern Tibet,432558,660,467,120.2848485,2.882450748,0.1107569,624.04624,1.99361855,492.6290349,0.26548361,1728.9689
Ethiopian Highlands,691493,913,660,244.3001095,1.701595187,201.0105214,1077.88335,4.49779031,594.7931036,0.76390929,2878.4203
Fiji,2430,3,58,55,0.054545455,226.7096882,2498.65439,0.98446123,256.736842,1.45539231,184.7487
Flinders Range,24364,41,223,152.4634146,0.462645977,165.7133329,302.75917,0.1380239,118.9558339,0.25274567,1198.7734
Great Basin,69143,113,182,98.26548673,0.85212536,90.0054329,245.25162,0.38199878,326.6211487,0.14820882,2099.2518
Guadalcanal,5055,5,114,108.2,0.053604436,242.5066201,2667.40463,1.52157385,377.0520966,0.91496412,485.1386
Guinea / Mt. Nimba,14372,20,476,339.9,0.400411886,239.0350583,1918.8753,0.93310538,153.1578531,1.04377436,3250.7324
Hawaii,4245,6,39,21.33333333,0.828125,135.3660418,1401.09874,4.37334473,865.1013646,0.81280045,111.727
Inner Mongolian Mts,64628,113,177,77.23893805,1.291590284,44.5357813,292.91971,0.36793314,219.7142074,0.16239998,2284.8509
Himalaya,459021,690,895,259.4231884,2.449961453,76.0482735,1511.22441,17.69924182,1509.752783,0.56106377,2795.4802
Hindu-Kush Highlands,388998,608,374,88.82565789,3.21049513,109.9217018,331.76402,2.50383254,871.7515091,0.11269269,2235.1889
Hispaniola,61218,87,132,105.0574713,0.256455142,239.7559117,1385.55213,2.84736581,473.1977016,0.99446288,989.7387
Hokkaido,17908,31,141,119.2903226,0.181990265,48.3847256,1157.03927,1.16667437,300.7519115,0.63472585,3207.2089
Huanchaca plateau,14686,17,681,542.8235294,0.254551365,235.0969649,1686.4753,0.66795559,195.0344421,0.58226013,5514.6444
Iberian Mts,179563,309,246,157.5210356,0.561696183,108.3849697,902.0746,2.89266348,454.0398618,0.68496877,4983.1985
Iceland,71973,227,69,44.50660793,0.550331585,4.9471319,882.95471,2.18270207,290.2370792,0.08910393,1681.2911
Mts of Iranian Deserts,590163,915,405,63.27759563,5.400369609,170.2599951,231.59027,3.17278191,637.7359313,0.13902942,1704.1626
Iranian Mts,695730,1085,368,73.87269373,3.981542996,160.0080656,426.94806,3.19521336,743.693091,0.14834166,2043.7122
Jamaica,3078,4,104,100.5,0.034825871,242.996306,1701.13204,0.48975575,177.8220845,0.93636324,822.144
Japan,134407,217,170,114.875576,0.479862003,120.4285611,1690.41861,4.87934954,445.0811642,0.76719311,2829.4996
Java,82070,104,356,249.5673077,0.426468888,247.1538962,2606.31161,5.57208723,454.2500637,1.06384245,1727.4354
Jos Plateau,20445,28,378,295.2857143,0.28011611,231.0536292,1221.87657,0.66983324,293.3070345,0.38172481,3697.5845
Kamchatka,205569,477,147,102.4360587,0.435041546,-22.1776296,645.61079,2.21151179,379.5768189,0.26450131,4195.1752
La Dat Mountains,88761,121,499,348.8099174,0.430578591,231.5910315,2140.71237,3.04375926,388.1962999,1.2468923,2675.6232
North Labrador,40162,100,66,36.53535354,0.80646945,-63.767213,649.87871,0.54953473,263.4988334,0.08755814,1374.864
Luzon Highlands,42176,58,256,221.4237288,0.156154317,239.8915447,2454.15363,3.13971045,457.9648663,1.12419973,1362.0619
Macdonnell Ranges,123232,177,157,88.00564972,0.783976375,217.9666221,306.70225,0.138645,95.86041695,0.12218613,783.4904
Tepuis,321552,416,832,456.40625,0.82293735,233.0819234,2658.00509,5.34564662,381.5901314,1.42048554,4268.562
Madagascar Highlands,346659,485,191,103.1921488,0.850916008,209.788711,1664.14215,4.49927619,443.5676801,1.20600438,987.3523
Madrean Cordilleras,1016388,1448,704,189.3314917,2.718346027,185.8419047,768.46547,8.20342789,713.5783905,0.65895461,2111.1918
Makira,2705,3,93,90.33333333,0.029520295,255.3910866,3884.09003,0.75110724,204.1955085,1.0094808,438.76
Malaia Peninsula,47712,64,457,354.3125,0.289821838,243.9018921,2623.33609,2.17704523,357.103322,1.14424936,1966.4754
Manchurian Mts.,211841,372,243,139.3709677,0.7435482,46.9938614,842.15129,2.38131716,351.491248,0.62485345,3643.172
Mindanao Highlands,21661,31,253,226.1612903,0.11867066,227.8461892,2174.5469,4.66959277,459.5941045,1.02507165,1283.0775
Mindoro Highlands,3486,5,258,198.4,0.300403226,238.7712231,2459.72977,1.01643859,489.2509354,0.91731842,1304.362
Miombo Highlands,250113,331,739,362.5347432,1.03842532,205.6306214,1096.33352,0.97392155,226.562499,1.10312081,4326.3338
Hajar Range (Muscat),40176,59,112,48.06779661,1.330042313,265.3328292,109.90571,0.15708227,386.1757353,0.0176551,1055.6479
Namib Escarpment,161725,228,493,182.4868421,1.701564641,196.566707,215.50562,0.73759582,340.4607696,0.16894676,2161.5903
New Britain,35843,47,163,127.5531915,0.277898249,239.9024127,4477.17125,4.80119062,391.7107171,0.8017091,590.98
New Caledonia,6077,10,82,76.8,0.067708333,214.8763291,1828.55056,1.36082228,237.5011373,1.74943925,396.5331
New Foundland,40385,80,130,93.825,0.38555822,29.6107015,1187.21961,0.44470651,143.044567,0.47676541,2682.543
New Guinea Highlands,409030,538,580,281.605948,1.059615588,211.3219507,3232.35934,14.00024052,926.3153789,1.19766587,932.9758
Northern Andes,529439,690,1818,466.3028986,2.898753376,189.8885736,2254.49712,22.6870411,1080.912378,1.27433467,3098.471
Northern Moluccas,6228,10,150,118,0.271186441,248.4097866,2295.67308,0.788192,265.7241852,0.92797437,520.8651
Nusa Tenggara,87197,115,421,144.9304348,1.904841903,249.7918385,1575.97417,3.90174436,355.3410177,1.09506577,1041.6748
NZ North Island,21806,34,64,45.23529412,0.414824447,101.2796689,1614.34367,1.76096689,246.8485853,1.34542579,287.7193
NZ South Island,93804,167,90,43.09580838,1.088370154,69.5266803,1685.57421,8.69706315,440.5428629,0.71489754,266.3622
Oregonian,163023,278,250,150.5719424,0.66033589,121.0729237,1118.54926,3.47858542,429.6014578,0.76119814,2839.6171
Ozark Mountains,61070,99,141,111.8080808,0.261089529,155.6804423,1221.78352,0.32586521,128.8516157,0.55108403,1823.1849
Pamir-Tian-Shan Highlands,832053,1434,428,123.3654114,2.469367913,19.6935685,330.12072,4.15711413,1178.353074,0.20053855,3577.107
Patagonia,241103,441,206,97.61678005,1.110292922,79.0889316,269.26294,2.16389214,327.8003617,0.15832207,916.0861
Pilbara-Hamersley Ranges,34322,54,150,96.46296296,0.55500096,243.8743454,382.94631,0.11002161,142.1882877,0.08204181,869.0298
Queensland Coastal,183318,254,404,221.7322835,0.822017045,223.2481128,1120.21339,3.67999549,240.0860362,1.10094502,1546.8728
Quilian Mts,245266,405,206,70.53580247,1.920502678,-9.6007135,260.49051,1.41309545,857.571187,0.16469611,1580.5315
Quin Ba Mts,201281,311,314,157.4565916,0.994200413,124.099417,919.21113,1.9188996,493.3962132,0.56555318,2609.3964
Rocky Mountains,1919959,3667,414,133.4243251,2.102882475,46.0197515,651.42448,11.16208618,649.4352572,0.32186175,2964.1609
S African Highlands,381318,568,587,273.0246479,1.149989038,152.9629613,624.2447,1.85688464,406.0488032,0.56280747,3142.3908
Santa Marta Mts,15971,21,647,398.1904762,0.624850514,212.6483486,1555.44146,4.16573316,1116.007155,1.01065063,3481.9117
Scandinavian Mts,341779,1035,230,129.2164251,0.779959473,12.8220252,964.08304,4.13057861,368.148013,0.26788885,5183.7405
Scotland,40649,93,168,130.5268817,0.287091194,72.6443454,1400.6177,1.54035512,191.5954951,0.4672423,5062.1407
SE Chinese Mountains,334906,483,336,180.6169772,0.86029024,176.7713837,1678.41969,2.24848666,296.3664326,0.7842335,2600.882
Shanxi Mts,166876,279,213,111.8351254,0.904589449,77.8803099,556.32025,0.95722815,437.1661079,0.35289417,2748.5383
China/Thailand Monsoon Mts,1232282,1739,862,299.5899942,1.877265652,194.7953811,1394.67164,9.37043192,529.4546822,1.05108253,2763.6551
Sierra-Cascade,331427,587,292,147.1911263,0.983815243,90.4551473,1065.93265,9.69146206,722.5263643,0.49968757,2851.2501
Sinai,23508,35,97,44.17142857,1.195989651,183.6562334,31.37329,0.26527879,310.2084625,0.07357925,870.5851
Sitkan,148719,381,180,101.5616798,0.772322005,2.9070209,2015.60304,12.94856616,708.1614254,0.28224093,2974.2066
North Somali Mts,153378,198,418,130.3838384,2.20591881,242.2662313,273.41393,0.74940637,355.4336526,0.1706734,1362.9306
Southern Andes,618314,1069,291,86.95790458,2.346446782,65.4854213,1036.31641,13.80401429,1244.879543,0.44708029,757.3271
Southern Cape Region,63667,105,379,253.0952381,0.497460019,160.5814906,396.12444,0.85165461,343.4411024,0.45447336,2803.2573
Southern Moluccas,12806,18,170,120.6666667,0.408839779,234.5096827,2501.98909,2.28000536,425.4079569,1.08053643,623.9424
Sierra Nevada de Andalucia,18529,28,190,148.0714286,0.283164496,126.0093564,567.90818,0.89292466,410.3873694,0.44658707,4430.0481
Southern Tibet,664798,1013,501,68.27936821,6.337501988,-35.3744005,373.43434,4.56381379,596.5687847,0.08173215,1326.2239
Spitzbergen,62204,406,33,13.01485149,1.535564854,-81.7137816,355.16492,0.49044374,258.4336687,0.01544455,210.0156
Sri Lanka,12954,17,226,204.8235294,0.103388857,238.5447297,2117.56614,2.66327501,480.619845,1.15653534,2215.2304
Stirling Range,6657,11,181,158.5454545,0.14162844,150.5193481,508.76696,0.14612693,66.6632657,0.76711037,1217.7495
Sulawesi,82209,107,251,177.0654206,0.417555157,222.0761871,2500.8707,6.27869468,586.5371887,1.13713714,984.9489
Sumatra Highlands,120159,164,482,348.2195122,0.384184352,215.9025229,2948.54098,5.3738878,517.0168045,1.06497942,1913.5262
SW Arabian Mts,153829,213,148,57.97183099,1.552964043,215.4019213,184.17411,1.03962492,423.9961677,0.10313253,949.5114
Taiwan,26439,38,188,150.6578947,0.247860262,179.9596392,2476.78291,4.64317192,844.793091,1.2342222,1829.2156
Tanzania-Malawi Mts.,189713,245,800,421.8326531,0.896486662,205.8235856,1087.05564,3.1152389,426.5883003,1.10286511,4695.1288
Tasmania,47901,87,150,103.1724138,0.453877005,100.43898,1382.66636,2.0595178,283.6788322,1.26402263,734.1838
Tibesti,110946,155,30,16.79354839,0.786400307,214.9717431,12.72551,0.07019922,466.5038737,0.02212944,314.3646
Transbaikalia,816173,1878,300,149.8359957,1.002189117,-59.8206265,462.99999,0.74751916,351.2700966,0.32258555,5726.4538
Ural Mts,58604,158,259,142.3670886,0.819240686,-30.2518275,647.13561,0.93582869,218.0416235,0.31483291,5624.3006
Venezuelan Andes,71189,90,863,480.2777778,0.796876807,215.2236534,1418.56204,6.1161419,864.0365561,1.15348387,3982.9026
West Papua Barat,16839,20,379,293.95,0.289334921,208.3566523,3219.94678,2.46172161,588.4913324,1.03548671,810.9442
West Cuba,6314,11,121,110.7272727,0.092775041,249.2360559,1396.39618,0.255064,100.3713138,0.98090382,1125.9491
Western Central Andes,726440,1009,1162,109.4608523,9.61566738,84.7182688,309.70052,5.3714846,1370.44031,0.29453813,709.0847
Western Ghats Mts,109283,145,337,232.7034483,0.448195128,256.3614313,2606.83715,6.58463197,388.7858628,0.74709665,2643.8324
Sichuan/Yunnan Mts,406647,607,827,265.6276771,2.113380387,93.5882796,997.68187,10.32045047,981.6707376,0.75694312,2836.0797
Yukon,1315017,3925,251,102.42737,1.450516887,-55.8610831,396.7326,4.99942828,524.2383991,0.23793993,3213.8591